step,time_s,KE_J,PE_J,Etot_J,T_kin_K,P_Pa,Uext_J
1840,1.840000000e-09,4.128059696e-16,-3.602857460e-22,4.128059471e-16,9.966471555e+03,2.752038588e-07,3.378029526e-22
1850,1.850000000e-09,4.128045632e-16,-5.031275996e-22,4.128059295e-16,9.966437600e+03,2.752028765e-07,1.869463546e-21
1860,1.860000000e-09,4.128060702e-16,-4.972962272e-22,4.128057630e-16,9.966473984e+03,2.752038820e-07,1.900684815e-22
1870,1.870000000e-09,4.128073427e-16,-4.850399708e-22,4.128059414e-16,9.966504706e+03,2.752047355e-07,-9.162110023e-22
1880,1.880000000e-09,4.128055080e-16,-4.613519166e-22,4.128060333e-16,9.966460410e+03,2.752035204e-07,9.866562951e-22
1890,1.890000000e-09,4.128046580e-16,-4.838578807e-22,4.128058715e-16,9.966439890e+03,2.752029515e-07,1.697377523e-21
1900,1.900000000e-09,4.128078983e-16,-5.548878815e-22,4.128059353e-16,9.966518119e+03,2.752050881e-07,-1.408059370e-21
1910,1.910000000e-09,4.128063404e-16,-4.351539807e-22,4.128061699e-16,9.966480508e+03,2.752040817e-07,2.646305758e-22
1920,1.920000000e-09,4.128052223e-16,-4.782055596e-22,4.128059421e-16,9.966453513e+03,2.752033338e-07,1.198043821e-21
1930,1.930000000e-09,4.128065879e-16,-4.457512190e-22,4.128060167e-16,9.966486484e+03,2.752042441e-07,-1.255215832e-22
1940,1.940000000e-09,4.128074624e-16,-4.337480133e-22,4.128061261e-16,9.966507597e+03,2.752048292e-07,-9.025875042e-22
1950,1.950000000e-09,4.128063243e-16,-3.624485303e-22,4.128062488e-16,9.966480119e+03,2.752040946e-07,2.870029579e-22
1960,1.960000000e-09,4.128053044e-16,-3.451538153e-22,4.128060160e-16,9.966455495e+03,2.752034203e-07,1.056802475e-21
1970,1.970000000e-09,4.128077254e-16,-4.218202685e-22,4.128059878e-16,9.966513947e+03,2.752050100e-07,-1.315824405e-21
1980,1.980000000e-09,4.128071587e-16,-3.986652324e-22,4.128061924e-16,9.966500264e+03,2.752046390e-07,-5.676264223e-22
1990,1.990000000e-09,4.128060081e-16,-2.545540967e-22,4.128061307e-16,9.966472485e+03,2.752039146e-07,3.771828491e-22
2000,2.000000000e-09,4.128071388e-16,-3.708187094e-22,4.128060559e-16,9.966499784e+03,2.752046344e-07,-7.120856307e-22
