step,time_s,KE_J,PE_J,Etot_J,T_kin_K,P_Pa
1020,1.020000000e-09,2.068737064e-16,-2.345096370e-22,2.068734719e-16,9.989201038e+03,1.379157259e-07
1030,1.030000000e-09,2.068737095e-16,-2.401629488e-22,2.068734694e-16,9.989201192e+03,1.379157262e-07
1040,1.040000000e-09,2.068737326e-16,-2.617350739e-22,2.068734709e-16,9.989202305e+03,1.379157345e-07
1050,1.050000000e-09,2.068737224e-16,-2.506360491e-22,2.068734718e-16,9.989201814e+03,1.379157314e-07
1060,1.060000000e-09,2.068737302e-16,-2.609289263e-22,2.068734693e-16,9.989202190e+03,1.379157332e-07
1070,1.070000000e-09,2.068737570e-16,-2.843905062e-22,2.068734726e-16,9.989203483e+03,1.379157436e-07
1080,1.080000000e-09,2.068737265e-16,-2.551301886e-22,2.068734714e-16,9.989202011e+03,1.379157327e-07
1090,1.090000000e-09,2.068737115e-16,-2.387824759e-22,2.068734727e-16,9.989201287e+03,1.379157282e-07
1100,1.100000000e-09,2.068736736e-16,-2.020381837e-22,2.068734716e-16,9.989199458e+03,1.379157147e-07
1110,1.110000000e-09,2.068736641e-16,-1.941452367e-22,2.068734700e-16,9.989199000e+03,1.379157108e-07
1120,1.120000000e-09,2.068736705e-16,-1.998416163e-22,2.068734706e-16,9.989199305e+03,1.379157132e-07
1130,1.130000000e-09,2.068736658e-16,-1.950159985e-22,2.068734707e-16,9.989199077e+03,1.379157117e-07
1140,1.140000000e-09,2.068736675e-16,-1.967555088e-22,2.068734707e-16,9.989199161e+03,1.379157117e-07
1150,1.150000000e-09,2.068736798e-16,-2.108233260e-22,2.068734690e-16,9.989199755e+03,1.379157152e-07
1160,1.160000000e-09,2.068737007e-16,-2.300306058e-22,2.068734707e-16,9.989200764e+03,1.379157236e-07
1170,1.170000000e-09,2.068736858e-16,-2.131020548e-22,2.068734727e-16,9.989200044e+03,1.379157195e-07
1180,1.180000000e-09,2.068736558e-16,-1.840867318e-22,2.068734717e-16,9.989198597e+03,1.379157087e-07
1190,1.190000000e-09,2.068736709e-16,-2.013553060e-22,2.068734695e-16,9.989199325e+03,1.379157132e-07
1200,1.200000000e-09,2.068736650e-16,-1.925392462e-22,2.068734724e-16,9.989199040e+03,1.379157122e-07
1210,1.210000000e-09,2.068736300e-16,-1.612896819e-22,2.068734687e-16,9.989197350e+03,1.379156987e-07
1220,1.220000000e-09,2.068736769e-16,-2.081781608e-22,2.068734688e-16,9.989199617e+03,1.379157150e-07
1230,1.230000000e-09,2.068736911e-16,-2.200747292e-22,2.068734711e-16,9.989200303e+03,1.379157204e-07
1240,1.240000000e-09,2.068736802e-16,-2.073615726e-22,2.068734729e-16,9.989199776e+03,1.379157170e-07
1250,1.250000000e-09,2.068736852e-16,-2.162553936e-22,2.068734690e-16,9.989200018e+03,1.379157173e-07
1260,1.260000000e-09,2.068737400e-16,-2.710025018e-22,2.068734690e-16,9.989202664e+03,1.379157362e-07
1270,1.270000000e-09,2.068737524e-16,-2.801733737e-22,2.068734722e-16,9.989203259e+03,1.379157416e-07
1280,1.280000000e-09,2.068736800e-16,-2.083718606e-22,2.068734717e-16,9.989199767e+03,1.379157151e-07
1290,1.290000000e-09,2.068737206e-16,-2.524338852e-22,2.068734681e-16,9.989201724e+03,1.379157291e-07
1300,1.300000000e-09,2.068737560e-16,-2.858463527e-22,2.068734702e-16,9.989203435e+03,1.379157420e-07
1310,1.310000000e-09,2.068737455e-16,-2.727155209e-22,2.068734728e-16,9.989202927e+03,1.379157391e-07
1320,1.320000000e-09,2.068737398e-16,-2.717209081e-22,2.068734681e-16,9.989202652e+03,1.379157356e-07
1330,1.330000000e-09,2.068737739e-16,-3.040149423e-22,2.068734699e-16,9.989204300e+03,1.379157478e-07
1340,1.340000000e-09,2.068737716e-16,-2.999378297e-22,2.068734717e-16,9.989204189e+03,1.379157475e-07
1350,1.350000000e-09,2.068737604e-16,-2.888284418e-22,2.068734715e-16,9.989203646e+03,1.379157433e-07
